"Year";"Correlation";"parameter"
"2013-2018";-0.132571583761858;"Lyman alpha solar index"
"2013-2018";0.0831870972761837;"Dst index"
"2013-2018";-0.0767799984612156;"Solar index_F10.7"
"2013-2018";0.0579397523315571;"Proton flux over 60 MeV"
"2013-2018";-0.0556521804116967;"Polar cap south (Vostok)"
"2013-2018";0.0508292082161583;"Proton flux over 30 MeV"
"2013-2018";-0.0474962633748078;"R sunspot number"
"2013-2018";-0.03317327663446;"Solar wind temperature"
"2013-2018";-0.0269340128758733;"Solar wind density"
"2013-2018";0.0190019445201137;"Proton flux over 10 MeV"
"2013-2018";-0.0157830068807334;"Kp index"
"2013-2018";0.00892137502117466;"Solar wind speed"
"2013-2018";-0.00814471499592876;"Ap index"
"2013-2018";0.000813428281539018;"Polar cap north (Thule)"
