"Week";"Correlation"
1;-0.256523230582142
2;-0.246708918057297
3;-0.244354446845391
4;-0.239586998623648
5;-0.226729594228152
6;-0.225285736008455
7;-0.221762489726781
8;-0.222929483550095
9;-0.210505868711196
10;-0.207514183043869
11;-0.207593629412301
12;-0.207111738859123
13;-0.19888605676835
14;-0.201493969750344
15;-0.209416964160693
16;-0.209683212488792
17;-0.206739693454269
18;-0.199603393370413
19;-0.211894342617592
20;-0.206588374240264
21;-0.205749892956708
22;-0.204021609552318
23;-0.214954100315195
24;-0.208001170451337
25;-0.208299337762784
26;-0.206058191080993
27;-0.217158177480874
28;-0.207132398399177
29;-0.200702208879067
30;-0.19498960723611
31;-0.199192653528355
32;-0.205116751761122
33;-0.201268110678908
34;-0.193281989500411
35;-0.200955858849613
36;-0.196228516599183
37;-0.192588779681078
38;-0.189655118292019
39;-0.187099289056412
40;-0.179925993052732
41;-0.171043906359709
42;-0.171605250004468
43;-0.176824728962727
44;-0.175392258864899
45;-0.167675067386089
46;-0.166928169045531
47;-0.164221546432445
48;-0.158284163905844
49;-0.14190757568534
50;-0.11934015926016
51;-0.125773498093559
52;-0.110196491452185
53;-0.106710583633978
54;-0.109528523169126
55;-0.109588740784638
56;-0.103532788184991
57;-0.0927088760289929
58;-0.0944215759927728
59;-0.0896990569325488
60;-0.0903339246508932
61;-0.1004397896717
62;-0.104808045752957
63;-0.107115284361052
64;-0.0996922653934033
65;-0.100458235185599
66;-0.0946891135706407
67;-0.0964046556735566
68;-0.0965217194922273
69;-0.101932616283602
70;-0.10266154000022
71;-0.103135843621985
72;-0.0993238855360617
73;-0.0958766404255416
74;-0.0996093579972469
75;-0.103805628443921
76;-0.105735046224923
77;-0.104604076062039
78;-0.109584126059666
79;-0.107240523137035
80;-0.108154604011702
81;-0.108509012500027
82;-0.109292498323339
83;-0.109478298132457
84;-0.108073667525616
85;-0.107568305987601
86;-0.102307080398583
87;-0.100268842980332
88;-0.101078884162348
89;-0.105023538458374
90;-0.0981375982687108
91;-0.0985745368517593
92;-0.110249463039344
93;-0.111617056711469
94;-0.106442763432193
95;-0.0989109876319786
96;-0.0954686737978474
97;-0.0906450294682268
98;-0.0904255511969629
99;-0.0876970920398255
100;-0.0879888591266996
101;-0.0907106592970129
102;-0.0826100367986431
103;-0.070346966969446
104;-0.0640907470219341
105;-0.0681702601160607
106;-0.0600596187245742
107;-0.0576132324658649
108;-0.0603461206731576
109;-0.0590487799627784
110;-0.0576690644557004
111;-0.0518150069425727
112;-0.051885085853491
113;-0.0508291113336889
114;-0.0462158146043861
115;-0.0332072349723898
116;-0.0255893588866333
117;-0.028344486140647
118;-0.0284203420572337
119;-0.0265149042462805
120;-0.0257628334301239
121;-0.0268065644750844
122;-0.0332737874027111
123;-0.0318797473457563
124;-0.0327648852830404
125;-0.0345275218102374
126;-0.0351656130127884
127;-0.0346541054760611
128;-0.0388571373536241
129;-0.039292729664629
130;-0.0349128020712875
131;-0.036291685551017
132;-0.0416725824374996
133;-0.0497172404628137
134;-0.0504306316030162
135;-0.0517556742521946
136;-0.0543011045913861
137;-0.0562073943606741
138;-0.0566574889949715
139;-0.054513258634096
140;-0.0538128398653669
141;-0.0591875067424723
142;-0.0511015544178353
143;-0.0505147555855989
144;-0.0492111744586329
145;-0.047843483330995
146;-0.0486286926980301
147;-0.0472699592314196
148;-0.0467720739364839
149;-0.0449963882852865
150;-0.0411601409748793
151;-0.0392364892833239
152;-0.0422216940666079
153;-0.0459690165983926
154;-0.0307868660604563
155;-0.0294407850134759
156;-0.0295843294563822
157;-0.0349445349277025
