"Week";"Correlation"
1;-0.0597613159586278
2;-0.0595424185952075
3;-0.0598589339249703
4;-0.0597847677247924
5;-0.0598775536147189
6;-0.05987213029463
7;-0.0598609755263058
8;-0.0594216451762836
9;-0.0595050810186516
10;-0.0599334177027233
11;-0.0596290228116313
12;-0.0592010983770687
13;-0.0585022286957464
14;-0.0585950488265934
15;-0.0581467574247779
16;-0.0587072713810896
17;-0.058572359738224
18;-0.0583905681443124
19;-0.0582603470454947
20;-0.0586676887371612
21;-0.0588860964088513
22;-0.0589984987262786
23;-0.0586251004660641
24;-0.0588458349846107
25;-0.0587120235667814
26;-0.0590350642382214
27;-0.0591276839249712
28;-0.0590200874622212
29;-0.0589794104914523
30;-0.0589815370771881
31;-0.0590873794733496
32;-0.0596393580460986
33;-0.0592928876777801
34;-0.0594650294201131
35;-0.0592063610470741
36;-0.0593667854053041
37;-0.0590439822124409
38;-0.059376159940866
39;-0.0594190416508818
40;-0.0596076776510613
41;-0.0594899025474455
42;-0.059381273723309
43;-0.05951801891231
44;-0.0594597187806923
45;-0.0597166057089547
46;-0.0590253451727631
47;-0.0588783958976398
48;-0.0589271930797237
49;-0.0591841884451731
50;-0.0591852936198193
51;-0.0598816021506405
52;-0.059882832365371
53;-0.0602881906068752
54;-0.0591877656954638
55;-0.058977026191101
56;-0.058841459053057
57;-0.0591860777494266
58;-0.0598034626363188
59;-0.0595575159124833
60;-0.0595554260465252
61;-0.060032395164576
62;-0.0596163488172445
63;-0.0592461961952147
64;-0.0591712244488668
65;-0.0593042348867987
66;-0.0593759856205721
67;-0.0591898368825278
68;-0.0591922333396375
69;-0.0589160924308027
70;-0.0583065432551614
71;-0.0583080764288021
72;-0.0584502310091291
73;-0.0579970858979888
74;-0.0572565181816444
75;-0.0572977774249884
76;-0.0577226328598748
77;-0.0578044721793217
78;-0.057583273070416
79;-0.0572934535262059
80;-0.0572405613439819
81;-0.0571997916299907
82;-0.0568320873612381
83;-0.0567398911675283
84;-0.0566180003298392
85;-0.0561141390015268
86;-0.0556415727220458
87;-0.0556624546205904
88;-0.0560854705381403
89;-0.0561870568299344
90;-0.0162087782421309
91;-0.0158260162827224
92;-0.0159122282631251
93;-0.015577108583866
94;-0.0161917197461992
95;-0.0156586025510087
96;-0.0145643553239326
97;-0.0141527026676771
98;-0.0142507341078543
99;-0.0133306794127324
100;-0.0131801132428531
101;-0.0130097806155378
102;-0.013460178477332
103;-0.0130195703538781
104;-0.01244133066173
105;-0.0118003335110454
106;-0.0107934290478148
107;-0.0105271427112012
108;-0.010521052037013
109;-0.00470172798031006
110;-0.00472196070883433
111;-0.00508399848479199
112;-0.00519458119781384
113;-0.00399450766807327
114;-0.00403453911523937
115;0.107945660913081
116;0.107009988736781
117;0.107228788966779
118;0.107164476104898
119;0.10714651458443
120;0.106545433570183
121;0.106988456376302
122;0.107008459256028
123;0.107060474771547
124;0.107200839074597
125;0.111500476472383
126;0.112654902169152
127;0.114427887356958
128;0.114228276183679
129;0.114500183463014
130;0.115144278353205
131;0.116138877095912
132;0.116273569684442
133;0.116294974462235
134;0.116617752133558
135;0.115289398740344
136;0.115085528731161
137;0.114319329341917
138;0.11524941674322
139;0.115950733617893
140;0.11589280848407
141;0.116511762318284
142;0.116517854526079
143;0.117061104260689
144;0.117003104300081
145;0.11799518017729
146;0.118004115423586
147;0.118685166072791
148;0.118773474422123
149;0.118701638329714
150;0.118515747915516
151;0.118763433767161
152;0.118959591837512
153;0.118178699626136
154;0.11810596511174
155;0.118029347395324
156;0.119922860959356
157;0.120116503792811
