"Week";"Correlation"
1;-0.540438355953415
2;-0.533936871424159
3;-0.529622066862778
4;-0.523169978585367
5;-0.516653837503916
6;-0.511785432879281
7;-0.509482194414268
8;-0.504133569946088
9;-0.492403940788307
10;-0.489083911347813
11;-0.482030009151557
12;-0.476153585626137
13;-0.465084107190171
14;-0.451765623851223
15;-0.44492768216802
16;-0.436438461701227
17;-0.426094719492646
18;-0.419213985537295
19;-0.413424141347169
20;-0.406880158201107
21;-0.393043344057979
22;-0.385122016292628
23;-0.375400620957815
24;-0.368978684279784
25;-0.362631375683306
26;-0.358497401956868
27;-0.348741332234982
28;-0.338189413207466
29;-0.331422686935978
30;-0.322899052873394
31;-0.31360679298228
32;-0.305782431329855
33;-0.30262983479434
34;-0.294007333824012
35;-0.283960449848591
36;-0.278606294371302
37;-0.270502562685758
38;-0.265087550050984
39;-0.258999564548997
40;-0.250809499851986
41;-0.23678704780062
42;-0.224211707393223
43;-0.221092027469981
44;-0.214299029100639
45;-0.202060700567302
46;-0.195874869219297
47;-0.192028810633143
48;-0.175717676603713
49;-0.163894775166975
50;-0.155593456682676
51;-0.138787021953441
52;-0.121501214739986
53;-0.104270149785358
54;-0.0887290024053612
55;-0.076551855503921
56;-0.061467197004226
57;-0.0411786770881819
58;-0.0416942013577118
59;-0.0336600984467662
60;-0.0313271273086281
61;-0.0322934349738303
62;-0.0293514992717752
63;-0.0137910956847935
64;-0.00520471289749154
65;-0.000385537704703118
66;-0.00142620479503662
67;0.000555034207219577
68;0.00110365334623553
69;0.00726426890803419
70;0.00811861030978544
71;0.00733868512386444
72;0.00948217219225786
73;0.0103517120564923
74;0.00877920214228868
75;0.00112823848952564
76;0.00422434882122568
77;0.00563108054516801
78;0.00750287504177356
79;0.000493658477083315
80;-0.00119422732286618
81;-0.00374256936808605
82;-0.00776546522285332
83;-0.00977886508116878
84;-0.0160023277518214
85;-0.0151995399566133
86;-0.0125491591555917
87;-0.0127754106263964
88;-0.0118580980005181
89;-0.0127737299412657
90;-0.0321293633276562
91;-0.0338125214282124
92;-0.0413809377897041
93;-0.0459981001290353
94;-0.0533504094343154
95;-0.0734674140730104
96;-0.0820301991101086
97;-0.0754032339534974
98;-0.0755996185231154
99;-0.0801062885916374
100;-0.084904183284908
101;-0.096293333282784
102;-0.113381068166529
103;-0.120853296590455
104;-0.133665256326093
105;-0.122873135118218
106;-0.109261827957711
107;-0.102880301198884
108;-0.11338856637451
109;-0.107386620293951
110;-0.105316261574383
111;-0.102499236437034
112;-0.0985755521172006
113;-0.0905537403619443
114;-0.0896344910612414
115;-0.0821261054659801
116;-0.0763745621168083
117;-0.06740773936345
118;-0.0613777630740272
119;-0.0588799731683822
120;-0.0627858581722304
121;-0.0603142134260849
122;-0.0662644199582752
123;-0.0667998129167414
124;-0.0657792457224614
125;-0.0664112478630903
126;-0.0669034938930623
127;-0.0684297190869308
128;-0.07562539887767
129;-0.0777942901652034
130;-0.0764170292760319
131;-0.077591480856762
132;-0.0862697640942712
133;-0.0923374260114991
134;-0.095434310074168
135;-0.0975159975960775
136;-0.101600552459429
137;-0.105813308944495
138;-0.105597311980411
139;-0.109219311488087
140;-0.109520211512081
141;-0.116032258499541
142;-0.120872944216296
143;-0.124622269168163
144;-0.127326103689585
145;-0.127556137201973
146;-0.131699155931761
147;-0.143144052617408
148;-0.147681439039839
149;-0.146300126246092
150;-0.146420834701847
151;-0.146525986855338
152;-0.152747456987804
153;-0.155319059229831
154;-0.156453822403851
155;-0.164519594321136
156;-0.175489816813507
157;-0.163548357024204
