"Week";"Correlation"
1;-0.137700842666454
2;-0.140986259203197
3;-0.139928155097972
4;-0.147367440215878
5;-0.148023755162516
6;-0.149192961677585
7;-0.150140317654979
8;-0.149446895436823
9;-0.150740622701342
10;-0.157491466633427
11;-0.15439613255824
12;-0.150153985322276
13;-0.154637498767486
14;-0.151195357580687
15;-0.148942553697771
16;-0.149211573378379
17;-0.150423002096039
18;-0.149457948916099
19;-0.144577428244645
20;-0.141733419801381
21;-0.144299515580618
22;-0.153905219069688
23;-0.145374711242978
24;-0.143685469788356
25;-0.143002184947738
26;-0.147008045839768
27;-0.133143059511414
28;-0.123468340683839
29;-0.129416844439849
30;-0.134837164587507
31;-0.127771737412125
32;-0.121146051107321
33;-0.113398245985578
34;-0.113559501278433
35;-0.116333447323397
36;-0.10745938599655
37;-0.101640976057629
38;-0.0913805876383893
39;-0.0887011886834438
40;-0.0694104562863097
41;-0.0750685285654076
42;-0.109306250761989
43;-0.107386408425643
44;-0.0867762226774966
45;-0.0994443856352905
46;-0.109817613300024
47;-0.0927689810537335
48;-0.0882834802894175
49;-0.108368786070273
50;-0.119755823682829
51;-0.114330364404114
52;-0.118743497402403
53;-0.120306839082515
54;-0.121404972605455
55;-0.113866973545485
56;-0.109161822217895
57;-0.122436033121444
58;-0.119485216554963
59;-0.114804729071638
60;-0.119226089366714
61;-0.124244674379378
62;-0.123465415241571
63;-0.115947769201734
64;-0.118438141531993
65;-0.118753570366964
66;-0.119427724344683
67;-0.123836399462946
68;-0.123341412937285
69;-0.12539532868812
70;-0.12596018074466
71;-0.124271541994678
72;-0.131083501349977
73;-0.128044439298714
74;-0.125112791221434
75;-0.122748648033922
76;-0.116656930539132
77;-0.114173481837928
78;-0.10961439617489
79;-0.107822711861475
80;-0.106387143410996
81;-0.104632338177521
82;-0.102317321122718
83;-0.103626942181208
84;-0.105674244312671
85;-0.104567243474078
86;-0.10129278379733
87;-0.0973130484566627
88;-0.0978240391539745
89;-0.0943709234913767
90;-0.0881623478700177
91;-0.0887757662306154
92;-0.0885126990530275
93;-0.0986560296627824
94;-0.0971777335745281
95;-0.0902883721605925
96;-0.0893041160022406
97;-0.0945810208364975
98;-0.0957412760665828
99;-0.0927081286557203
100;-0.0877978878030756
101;-0.0839089092460903
102;-0.0793396297698462
103;-0.0708635449736231
104;-0.0690864393522297
105;-0.0544695419450072
106;-0.0645877487086025
107;-0.0704312143532281
108;-0.0697435694404089
109;-0.0714567048184314
110;-0.0752637271574622
111;-0.0805471142770514
112;-0.0899177945587747
113;-0.0879910396442026
114;-0.0897249683864316
115;-0.0931952199899234
116;-0.101182533750397
117;-0.102596805687535
118;-0.0975133963091535
119;-0.0973607072004434
120;-0.0987899743351136
121;-0.0964914676176305
122;-0.0939320723322412
123;-0.0938807759751348
124;-0.09260876914968
125;-0.0935195000587013
126;-0.0932230304685495
127;-0.0932507988569435
128;-0.0882202895985521
129;-0.0876096156458155
130;-0.0807050305088352
131;-0.0807497247700437
132;-0.0770278807961059
133;-0.0743347531709337
134;-0.0749324341795695
135;-0.0768315548627891
136;-0.0717416172159111
137;-0.0679576480289498
138;-0.0671242528157165
139;-0.0662209761802221
140;-0.0650169272390007
141;-0.0633427136388954
142;-0.0664078178524656
143;-0.0664932863608052
144;-0.0653484537376554
145;-0.0650964122614126
146;-0.0673645938213771
147;-0.055388485279039
148;-0.0497771550142918
149;-0.0518051604205061
150;-0.0526500084070938
151;-0.0516776343566104
152;-0.0453644220854858
153;-0.0429415773744662
154;-0.0480550438659595
155;-0.0681006259367286
156;-0.0660316736822824
157;-0.067140540537199
