"Week";"Correlation"
1;-0.0928434901628303
2;-0.0844228141611598
3;-0.0868134353008168
4;-0.0806080214931285
5;-0.0679878431712198
6;-0.0672720927302648
7;-0.0590300402320654
8;-0.0596420017843899
9;-0.0501948572168797
10;-0.0475586465407983
11;-0.0515719627859636
12;-0.0516792845324389
13;-0.0467269518035989
14;-0.0523560683596582
15;-0.0541212537860922
16;-0.0538636137005518
17;-0.0504471982669516
18;-0.0437449397417461
19;-0.0596032191786052
20;-0.0571339983837782
21;-0.0615472541666679
22;-0.0518719992322075
23;-0.0643624834224462
24;-0.0567108541068114
25;-0.0577811469317219
26;-0.0530900995116646
27;-0.0695437441857313
28;-0.0632576350141406
29;-0.0555135943559161
30;-0.0444183923480979
31;-0.055497946441477
32;-0.0576891946658368
33;-0.0568503979470838
34;-0.048108369280407
35;-0.0628304907582121
36;-0.0627174284526
37;-0.0651724619862877
38;-0.0707985837376401
39;-0.0703021469982787
40;-0.0701859115637153
41;-0.0592597265875012
42;-0.0446052611712961
43;-0.0511909912272111
44;-0.065616490183159
45;-0.0548726892034031
46;-0.0526590608337542
47;-0.0693664295630066
48;-0.0628362162648378
49;-0.0414813780667536
50;-0.0184297759216811
51;-0.0351743096873039
52;-0.0166743544732957
53;-0.0164102629053278
54;-0.0248819203338716
55;-0.0289890769557088
56;-0.0281407778004878
57;-0.0173745216319145
58;-0.0200572288983752
59;-0.0164745469167143
60;-0.010755991644148
61;-0.0199757870264244
62;-0.0243248635560253
63;-0.0269091641072128
64;-0.0214207660032322
65;-0.0259101837351566
66;-0.0223422807378126
67;-0.0209347317789693
68;-0.020730858376671
69;-0.0293630150008668
70;-0.0283549758471314
71;-0.0290723156457516
72;-0.0249715542767617
73;-0.0224759224246819
74;-0.0326217497278204
75;-0.0323582673090107
76;-0.038407504617852
77;-0.0382207314306996
78;-0.0452760965818273
79;-0.0437394908521623
80;-0.0444871008709133
81;-0.0487560897665181
82;-0.0481313863601676
83;-0.0476665613837293
84;-0.0401932186714055
85;-0.0395993613631751
86;-0.0367136890932373
87;-0.0365050780971974
88;-0.0365516418218889
89;-0.04439354757793
90;-0.0354883710126
91;-0.0359330029269933
92;-0.0398315859313004
93;-0.0321341482838005
94;-0.0300666876812317
95;-0.0256537613253736
96;-0.023254968149391
97;-0.0208715210382907
98;-0.0192158137571654
99;-0.0190208774654336
100;-0.0219893256819898
101;-0.0207442393124976
102;-0.017110123375435
103;-0.00871581972259011
104;-0.00332161192498483
105;-0.00755528887503257
106;-0.00122402890263972
107;-0.00159895486056934
108;-0.00289955442406753
109;-0.0016086297430217
110;-8.20812593646869e-05
111;0.0043228719887384
112;0.0100898464707011
113;0.0101611021788876
114;0.00841474224458513
115;0.0192092841734142
116;0.0255799786745184
117;0.0246913716161213
118;0.021717852946059
119;0.0195089329293228
120;0.0208944563805663
121;0.0186115439982327
122;0.0130551712402967
123;0.0148217501814647
124;0.0140293051042994
125;0.0122971514476561
126;0.0117290487908143
127;0.0130890943659325
128;0.00727652140690364
129;0.00840129672244478
130;0.00940192312358882
131;0.00721089191184262
132;0.00440060232369579
133;0.00514440635282185
134;0.00541266679619298
135;0.00485959493037311
136;0.00120584431868609
137;-0.00194755257014421
138;-0.00214198434545417
139;-0.00281165704382088
140;-0.00251710568575492
141;-0.00182667104456465
142;0.00332049356862525
143;0.00331680836604056
144;0.003479605140566
145;0.00652905779953984
146;0.00843554985316269
147;-0.000538456104776049
148;-0.000444291031902368
149;0.00177270193444449
150;0.00443239316185931
151;0.00531079581504967
152;0.00456199985591397
153;0.00139044204024867
154;0.0118698778952914
155;0.0154168136809436
156;0.0169743995483674
157;0.0120286944230181
