"Year";"Correlation";"parameter"
"2010-2018";-0.156841504655722;"Lyman alpha solar index"
"2010-2018";-0.127583296963075;"Solar index_F10.7"
"2010-2018";-0.118198828985646;"Solar wind density"
"2010-2018";-0.115081016323757;"Kp index"
"2010-2018";-0.0966860228970541;"Ap index"
"2010-2018";-0.0832311458348951;"R sunspot number"
"2010-2018";-0.0826625570309379;"Polar cap south (Vostok)"
"2010-2018";0.0735700734380253;"Dst index"
"2010-2018";-0.0573560375977129;"Polar cap north (Thule)"
"2010-2018";-0.0523243160282776;"Solar wind temperature"
"2010-2018";-0.032560968437019;"Proton flux over 10 MeV"
"2010-2018";-0.0269196991307375;"Solar wind speed"
"2010-2018";-0.0218059711597164;"Proton flux over 30 MeV"
"2010-2018";-0.0148755419959893;"Proton flux over 60 MeV"
