Week;Zraneni;
1.tyzden.2014;15;
2.tyzden.2014;15;
3.tyzden.2014;11;
4.tyzden.2014;8;
5.tyzden.2014;15;
6.tyzden.2014;21;
7.tyzden.2014;19;
8.tyzden.2014;24;
9.tyzden.2014;11;
10.tyzden.2014;20;
11.tyzden.2014;11;
12.tyzden.2014;13;
13.tyzden.2014;12;
14.tyzden.2014;15;
15.tyzden.2014;23;
16.tyzden.2014;11;
17.tyzden.2014;10;
18.tyzden.2014;14;
19.tyzden.2014;11;
20.tyzden.2014;17;
21.tyzden.2014;19;
22.tyzden.2014;13;
23.tyzden.2014;20;
24.tyzden.2014;16;
25.tyzden.2014;13;
26.tyzden.2014;11;
27.tyzden.2014;16;
28.tyzden.2014;25;
29.tyzden.2014;22;
30.tyzden.2014;17;
31.tyzden.2014;12;
32.tyzden.2014;9;
33.tyzden.2014;16;
34.tyzden.2014;24;
35.tyzden.2014;11;
36.tyzden.2014;17;
37.tyzden.2014;11;
38.tyzden.2014;17;
39.tyzden.2014;17;
40.tyzden.2014;17;
41.tyzden.2014;19;
42.tyzden.2014;16;
43.tyzden.2014;25;
44.tyzden.2014;13;
45.tyzden.2014;19;
46.tyzden.2014;11;
47.tyzden.2014;14;
48.tyzden.2014;21;
49.tyzden.2014;18;
50.tyzden.2014;20;
51.tyzden.2014;18;
52.tyzden.2014;18;
