Week;Usmrteni;
1.tyzden.2015;3;
2.tyzden.2015;3;
3.tyzden.2015;12;
4.tyzden.2015;9;
5.tyzden.2015;7;
6.tyzden.2015;1;
7.tyzden.2015;3;
8.tyzden.2015;5;
9.tyzden.2015;3;
10.tyzden.2015;5;
11.tyzden.2015;10;
12.tyzden.2015;9;
13.tyzden.2015;6;
14.tyzden.2015;2;
15.tyzden.2015;5;
16.tyzden.2015;4;
17.tyzden.2015;6;
18.tyzden.2015;12;
19.tyzden.2015;3;
20.tyzden.2015;3;
21.tyzden.2015;6;
22.tyzden.2015;6;
23.tyzden.2015;16;
24.tyzden.2015;1;
25.tyzden.2015;11;
26.tyzden.2015;10;
27.tyzden.2015;10;
28.tyzden.2015;2;
29.tyzden.2015;6;
30.tyzden.2015;7;
31.tyzden.2015;6;
32.tyzden.2015;11;
33.tyzden.2015;8;
34.tyzden.2015;9;
35.tyzden.2015;4;
36.tyzden.2015;10;
37.tyzden.2015;14;
38.tyzden.2015;8;
39.tyzden.2015;5;
40.tyzden.2015;9;
41.tyzden.2015;8;
42.tyzden.2015;17;
43.tyzden.2015;11;
44.tyzden.2015;9;
45.tyzden.2015;15;
46.tyzden.2015;15;
47.tyzden.2015;6;
48.tyzden.2015;8;
49.tyzden.2015;12;
50.tyzden.2015;8;
51.tyzden.2015;16;
52.tyzden.2015;10;
