Week;Nehodovost;
1.tyzden.2016;241;
2.tyzden.2016;251;
3.tyzden.2016;235;
4.tyzden.2016;228;
5.tyzden.2016;219;
6.tyzden.2016;241;
7.tyzden.2016;239;
8.tyzden.2016;191;
9.tyzden.2016;208;
10.tyzden.2016;210;
11.tyzden.2016;235;
12.tyzden.2016;207;
13.tyzden.2016;175;
14.tyzden.2016;239;
15.tyzden.2016;257;
16.tyzden.2016;246;
17.tyzden.2016;236;
18.tyzden.2016;245;
19.tyzden.2016;269;
20.tyzden.2016;218;
21.tyzden.2016;277;
22.tyzden.2016;260;
23.tyzden.2016;289;
24.tyzden.2016;294;
25.tyzden.2016;302;
26.tyzden.2016;293;
27.tyzden.2016;256;
28.tyzden.2016;277;
29.tyzden.2016;236;
30.tyzden.2016;255;
31.tyzden.2016;251;
32.tyzden.2016;277;
33.tyzden.2016;274;
34.tyzden.2016;281;
35.tyzden.2016;231;
36.tyzden.2016;318;
37.tyzden.2016;299;
38.tyzden.2016;277;
39.tyzden.2016;246;
40.tyzden.2016;253;
41.tyzden.2016;252;
42.tyzden.2016;293;
43.tyzden.2016;260;
44.tyzden.2016;233;
45.tyzden.2016;275;
46.tyzden.2016;281;
47.tyzden.2016;280;
48.tyzden.2016;279;
49.tyzden.2016;300;
50.tyzden.2016;284;
51.tyzden.2016;275;
52.tyzden.2016;194;
