Date;AE;
1.1.-5.1.2014;179.450000;
6.1.-12.1.2014;103.726191;
13.1.-19.1.2014;56.583333;
20.1.-26.1.2014;102.160714;
27.1.-2.2.2014;66.220238;
3.2.-9.2.2014;147.345238;
10.2.-16.2.2014;101.255952;
17.2.-23.2.2014;298.035714;
24.2.-2.3.2014;120.726191;
3.3.-9.3.2014;77.339286;
10.3.-16.3.2014;92.184524;
17.3.-23.3.2014;88.672619;
24.3.-30.3.2014;102.750000;
31.3.-6.4.2014;100.553572;
7.4.-13.4.2014;209.636905;
14.4.-20.4.2014;150.154762;
21.4.-27.4.2014;172.750000;
28.4.-4.5.2014;194.440476;
5.5.-11.5.2014;204.416667;
12.5.-18.5.2014;96.613095;
19.5.-25.5.2014;143.815476;
26.5.-1.6.2014;107.595238;
2.6.-8.6.2014;168.107143;
9.6.-15.6.2014;118.654762;
16.6.-22.6.2014;189.089286;
23.6.-29.6.2014;108.815476;
30.6.-6.7.2014;103.255952;
7.7.-13.7.2014;174.511905;
14.7.-20.7.2014;76.184524;
21.7.-27.7.2014;107.863095;
28.7.-3.8.2014;139.226190;
4.8.-10.8.2014;186.113095;
11.8.-17.8.2014;110.250000;
18.8.-24.8.2014;139.916667;
25.8.-31.8.2014;281.285714;
1.9.-7.9.2014;197.988095;
8.9.-14.9.2014;145.791667;
15.9.-21.9.2014;98.011905;
22.9.-28.9.2014;278.827381;
29.9.-5.10.2014;164.666667;
6.10.-12.10.2014;157.148809;
13.10.-19.10.2014;180.035714;
20.10.-26.10.2014;276.672619;
27.10.-2.11.2014;149.369048;
3.11.-9.11.2014;143.297619;
10.11.-16.11.2014;182.392857;
17.11.-23.11.2014;198.738095;
24.11.-30.11.2014;97.642857;
1.12.-7.12.2014;199.202381;
8.12.-14.12.2014;211.172619;
15.12.-21.12.2014;179.107143;
22.12.-31.12.2014;201.404167;
