Date;AL;
1.1.-9.1.2010;-19.773148;
10.1.-16.1.2010;-33.738095;
17.1.-23.1.2010;-45.369048;
24.1.-30.1.2010;-39.101191;
31.1.-6.2.2010;-59.291667;
7.2.-13.2.2010;-27.773810;
14.2.-20.2.2010;-78.541667;
21.2.-27.2.2010;-36.851191;
28.2.-6.3.2010;-54.226190;
7.3.-13.3.2010;-68.428571;
14.3.-20.3.2010;-59.886905;
21.3.-27.3.2010;-31.928572;
28.3.-3.4.2010;-109.184524;
4.4.-10.4.2010;-274.779762;
11.4.-17.4.2010;-79.404762;
18.4.-24.4.2010;-73.089286;
25.4.-1.5.2010;-41.946429;
2.5.-8.5.2010;-180.595238;
9.5.-15.5.2010;-38.244048;
16.5.-22.5.2010;-64.773809;
23.5.-29.5.2010;-107.059524;
30.5.-5.6.2010;-172.660715;
6.6.-12.6.2010;-51.005952;
13.6.-19.6.2010;-82.607143;
20.6.-26.6.2010;-57.321428;
27.6.-3.7.2010;-124.470238;
4.7.-10.7.2010;-43.916667;
11.7.-17.7.2010;-49.422619;
18.7.-24.7.2010;-38.226190;
25.7.-31.7.2010;-113.428572;
1.8.-7.8.2010;-124.119048;
8.8.-14.8.2010;-73.886905;
15.8.-21.8.2010;-48.660714;
22.8.-28.8.2010;-119.696429;
29.8.-4.9.2010;-31.660714;
5.9.-11.9.2010;-72.511905;
12.9.-18.9.2010;-60.404762;
19.9.-25.9.2010;-59.386905;
26.9.-2.10.2010;-43.761905;
3.10.-9.10.2010;-59.440476;
10.10.-16.10.2010;-102.541667;
17.10.-23.10.2010;-87.880952;
24.10.-30.10.2010;-66.488095;
31.10.-6.11.2010;-37.535714;
7.11.-13.11.2010;-94.988095;
14.11.-20.11.2010;-41.232143;
21.11.-27.11.2010;-54.279762;
28.11.-4.12.2010;-34.500000;
5.12.-11.12.2010;-33.791667;
12.12.-18.12.2010;-76.988095;
19.12.-25.12.2010;-52.035714;
26.12.-31.12.2010;-80.944444;
