Date;AU;
1.1.-8.1.2012;37.218750;
9.1.-15.1.2012;34.053571;
16.1.-22.1.2012;52.488095;
23.1.-29.1.2012;79.125000;
30.1.-5.2.2012;52.517857;
6.2.-12.2.2012;53.732143;
13.2.-19.2.2012;78.666667;
20.2.-26.2.2012;51.744047;
27.2.-4.3.2012;95.720238;
5.3.-11.3.2012;137.559524;
12.3.-18.3.2012;121.065476;
19.3.-25.3.2012;52.946429;
26.3.-1.4.2012;72.946428;
2.4.-8.4.2012;79.785714;
9.4.-15.4.2012;65.250000;
16.4.-22.4.2012;80.934524;
23.4.-29.4.2012;113.053571;
30.4.-6.5.2012;49.011905;
7.5.-13.5.2012;107.386905;
14.5.-20.5.2012;73.505952;
21.5.-27.5.2012;86.815476;
28.5.-3.6.2012;79.880952;
4.6.-10.6.2012;106.339286;
11.6.-17.6.2012;120.851191;
18.6.-24.6.2012;59.416667;
25.6.-1.7.2012;111.333333;
2.7.-8.7.2012;102.178572;
9.7.-15.7.2012;182.505952;
16.7.-22.7.2012;114.601190;
23.7.-29.7.2012;75.839286;
30.7.-5.8.2012;84.047619;
6.8.-12.8.2012;81.125000;
13.8.-19.8.2012;82.970238;
20.8.-26.8.2012;78.982143;
27.8.-2.9.2012;64.202381;
3.9.-9.9.2012;131.821429;
10.9.-16.9.2012;36.041667;
17.9.-23.9.2012;53.767857;
24.9.-30.9.2012;32.452381;
1.10.-7.10.2012;44.761905;
8.10.-14.10.2012;103.422619;
15.10.-21.10.2012;31.148810;
22.10.-28.10.2012;23.809524;
29.10.-4.11.2012;38.636905;
5.11.-11.11.2012;24.744048;
12.11.-18.11.2012;34.839286;
19.11.-25.11.2012;46.750000;
26.11.-2.12.2012;20.369048;
3.12.-9.12.2012;17.166666;
10.12.-16.12.2012;26.261905;
17.12.-23.12.2012;23.761905;
24.12.-31.12.2012;16.026042;
