Date;Ap;
1.1.-9.1.2010;1.291667;
10.1.-16.1.2010;4.107143;
17.1.-23.1.2010;4.232143;
24.1.-30.1.2010;2.982143;
31.1.-6.2.2010;5.892857;
7.2.-13.2.2010;4.089286;
14.2.-20.2.2010;6.125000;
21.2.-27.2.2010;2.607143;
28.2.-6.3.2010;4.607143;
7.3.-13.3.2010;5.696429;
14.3.-20.3.2010;4.821429;
21.3.-27.3.2010;2.642857;
28.3.-3.4.2010;8.000000;
4.4.-10.4.2010;22.000000;
11.4.-17.4.2010;8.303571;
18.4.-24.4.2010;5.642857;
25.4.-1.5.2010;3.464286;
2.5.-8.5.2010;14.178571;
9.5.-15.5.2010;3.446429;
16.5.-22.5.2010;5.357143;
23.5.-29.5.2010;7.517857;
30.5.-5.6.2010;11.750000;
6.6.-12.6.2010;3.910714;
13.6.-19.6.2010;7.017857;
20.6.-26.6.2010;5.446429;
27.6.-3.7.2010;9.785714;
4.7.-10.7.2010;2.714286;
11.7.-17.7.2010;4.410714;
18.7.-24.7.2010;4.071429;
25.7.-31.7.2010;8.232143;
1.8.-7.8.2010;14.267857;
8.8.-14.8.2010;5.000000;
15.8.-21.8.2010;3.660714;
22.8.-28.8.2010;10.660714;
29.8.-4.9.2010;2.767857;
5.9.-11.9.2010;5.857143;
12.9.-18.9.2010;5.303571;
19.9.-25.9.2010;5.946429;
26.9.-2.10.2010;4.517857;
3.10.-9.10.2010;3.607143;
10.10.-16.10.2010;7.071429;
17.10.-23.10.2010;8.803571;
24.10.-30.10.2010;6.571429;
31.10.-6.11.2010;3.017857;
7.11.-13.11.2010;7.357143;
14.11.-20.11.2010;5.553571;
21.11.-27.11.2010;5.875000;
28.11.-4.12.2010;3.339286;
5.12.-11.12.2010;2.732143;
12.12.-18.12.2010;7.446429;
19.12.-25.12.2010;3.625000;
26.12.-31.12.2010;4.520833;
