Date;Dst;
1.1.-7.1.2018;-3.630952;
8.1.-14.1.2018;-2.708333;
15.1.-21.1.2018;-3.839285;
22.1.-28.1.2018;-7.500000;
29.1.-4.2.2018;-0.755952;
5.2.-11.2.2018;-1.785714;
12.2.-18.2.2018;-4.119048;
19.2.-25.2.2018;-13.250000;
26.2.-4.3.2018;-10.434524;
5.3.-11.3.2018;0.023810;
12.3.-18.3.2018;-12.154762;
19.3.-25.3.2018;-14.994048;
26.3.-1.4.2018;-4.059524;
2.4.-8.4.2018;3.148810;
9.4.-15.4.2018;-11.363095;
16.4.-22.4.2018;-12.041667;
23.4.-29.4.2018;-5.107143;
30.4.-6.5.2018;-3.928571;
7.5.-13.5.2018;-19.559524;
14.5.-20.5.2018;-6.732143;
21.5.-27.5.2018;2.363095;
28.5.-3.6.2018;-4.511905;
4.6.-10.6.2018;-7.148810;
11.6.-17.6.2018;2.666667;
18.6.-24.6.2018;-10.392857;
25.6.-1.7.2018;-14.833333;
2.7.-8.7.2018;2.708333;
9.7.-15.7.2018;2.535714;
16.7.-22.7.2018;-0.833333;
23.7.-29.7.2018;-0.886905;
30.7.-5.8.2018;4.660714;
6.8.-12.8.2018;1.773809;
13.8.-19.8.2018;-10.940476;
20.8.-26.8.2018;-20.946428;
27.8.-2.9.2018;-26.666667;
3.9.-9.9.2018;-1.083333;
10.9.-16.9.2018;-16.315476;
17.9.-23.9.2018;-5.494047;
24.9.-30.9.2018;1.273809;
1.10.-7.10.2018;-4.875000;
8.10.-14.10.2018;-22.666667;
15.10.-21.10.2018;-4.136905;
22.10.-28.10.2018;-1.880952;
29.10.-4.11.2018;3.214286;
5.11.-11.11.2018;-20.708333;
12.11.-18.11.2018;-4.083333;
19.11.-25.11.2018;2.577381;
26.11.-2.12.2018;2.761905;
3.12.-9.12.2018;-4.625000;
10.12.-16.12.2018;-4.476191;
17.12.-23.12.2018;-2.101191;
24.12.-30.12.2018;-2.077381;
