Date;Kp;
1.1.-10.1.2016;20.487500;
11.1.-17.1.2016;17.375000;
18.1.-24.1.2016;25.214286;
25.1.-31.1.2016;8.678571;
1.2.-7.2.2016;16.571429;
8.2.-14.2.2016;19.500000;
15.2.-21.2.2016;28.517857;
22.2.-28.2.2016;10.875000;
29.2.-6.3.2016;15.214286;
7.3.-13.3.2016;21.214286;
14.3.-20.3.2016;27.392857;
21.3.-27.3.2016;15.428571;
28.3.-3.4.2016;19.625000;
4.4.-10.4.2016;13.928571;
11.4.-17.4.2016;26.250000;
18.4.-24.4.2016;14.250000;
25.4.-1.5.2016;15.267857;
2.5.-8.5.2016;26.875000;
9.5.-15.5.2016;21.178571;
16.5.-22.5.2016;20.571429;
23.5.-29.5.2016;13.482143;
30.5.-5.6.2016;15.642857;
6.6.-12.6.2016;18.910714;
13.6.-19.6.2016;19.303571;
20.6.-26.6.2016;17.517857;
27.6.-3.7.2016;14.875000;
4.7.-10.7.2016;20.696429;
11.7.-17.7.2016;21.482143;
18.7.-24.7.2016;16.982143;
25.7.-31.7.2016;17.250000;
1.8.-7.8.2016;26.267857;
8.8.-14.8.2016;19.535714;
15.8.-21.8.2016;11.660714;
22.8.-28.8.2016;17.321429;
29.8.-4.9.2016;31.892857;
5.9.-11.9.2016;18.767857;
12.9.-18.9.2016;11.607143;
19.9.-25.9.2016;18.089286;
26.9.-2.10.2016;37.107143;
3.10.-9.10.2016;20.517857;
10.10.-16.10.2016;23.142857;
17.10.-23.10.2016;15.357143;
24.10.-30.10.2016;38.053571;
31.10.-6.11.2016;17.964286;
7.11.-13.11.2016;20.821429;
14.11.-20.11.2016;9.625000;
21.11.-27.11.2016;25.250000;
28.11.-4.12.2016;7.892857;
5.12.-11.12.2016;24.892857;
12.12.-18.12.2016;9.535714;
19.12.-25.12.2016;26.607143;
26.12.-31.12.2016;18.708333;
