Date;Lyman;
1.1.-4.1.2015;0.007834;
5.1.-11.1.2015;0.008332;
12.1.-18.1.2015;0.008530;
19.1.-25.1.2015;0.007696;
26.1.-1.2.2015;0.008114;
2.2.-8.2.2015;0.008731;
9.2.-15.2.2015;0.008542;
16.2.-22.2.2015;0.007719;
23.2.-1.3.2015;0.007940;
2.3.-8.3.2015;0.008262;
9.3.-15.3.2015;0.008043;
16.3.-22.3.2015;0.007457;
23.3.-29.3.2015;0.008383;
30.3.-5.4.2015;0.008303;
6.4.-12.4.2015;0.008024;
13.4.-19.4.2015;0.007967;
20.4.-26.4.2015;0.008565;
27.4.-3.5.2015;0.007827;
4.5.-10.5.2015;0.007954;
11.5.-17.5.2015;0.008369;
18.5.-24.5.2015;0.007975;
25.5.-31.5.2015;0.007341;
1.6.-7.6.2015;0.007769;
8.6.-14.6.2015;0.008273;
15.6.-21.6.2015;0.007856;
22.6.-28.6.2015;0.007168;
29.6.-5.7.2015;0.007679;
6.7.-12.7.2015;0.008197;
13.7.-19.7.2015;0.007682;
20.7.-26.7.2015;0.007082;
27.7.-2.8.2015;0.007567;
3.8.-9.8.2015;0.007748;
10.8.-16.8.2015;0.007344;
17.8.-23.8.2015;0.007089;
24.8.-30.8.2015;0.007365;
31.8.-6.9.2015;0.007309;
7.9.-13.9.2015;0.007039;
14.9.-20.9.2015;0.007205;
21.9.-27.9.2015;0.007554;
28.9.-4.10.2015;0.007268;
5.10.-11.10.2015;0.006680;
12.10.-18.10.2015;0.007180;
19.10.-25.10.2015;0.007868;
26.10.-1.11.2015;0.007188;
2.11.-8.11.2015;0.007044;
9.11.-15.11.2015;0.007503;
16.11.-22.11.2015;0.007764;
23.11.-29.11.2015;0.007312;
30.11.-6.12.2015;0.007011;
7.12.-13.12.2015;0.007461;
14.12.-20.12.2015;0.007658;
21.12.-31.12.2015;0.007345;
