Date;PCN;
1.1.-5.1.2014;1.055642;
6.1.-12.1.2014;0.778225;
13.1.-19.1.2014;0.274493;
20.1.-26.1.2014;0.670240;
27.1.-2.2.2014;0.434377;
3.2.-9.2.2014;0.996943;
10.2.-16.2.2014;0.637827;
17.2.-23.2.2014;2.012522;
24.2.-2.3.2014;0.724731;
3.3.-9.3.2014;0.517863;
10.3.-16.3.2014;0.575489;
17.3.-23.3.2014;0.592342;
24.3.-30.3.2014;0.599115;
31.3.-6.4.2014;0.585571;
7.4.-13.4.2014;1.249765;
14.4.-20.4.2014;0.797129;
21.4.-27.4.2014;1.127491;
28.4.-4.5.2014;0.901791;
5.5.-11.5.2014;1.228212;
12.5.-18.5.2014;0.485602;
19.5.-25.5.2014;0.890611;
26.5.-1.6.2014;0.501363;
2.6.-8.6.2014;1.056561;
9.6.-15.6.2014;0.727352;
16.6.-22.6.2014;1.385043;
23.6.-29.6.2014;0.454952;
30.6.-6.7.2014;0.624753;
7.7.-13.7.2014;0.899563;
14.7.-20.7.2014;0.844319;
21.7.-27.7.2014;0.393510;
28.7.-3.8.2014;0.780198;
4.8.-10.8.2014;1.069509;
11.8.-17.8.2014;0.630703;
18.8.-24.8.2014;0.524391;
25.8.-31.8.2014;1.244664;
1.9.-7.9.2014;1.143499;
8.9.-14.9.2014;0.730615;
15.9.-21.9.2014;0.498730;
22.9.-28.9.2014;1.502386;
29.9.-5.10.2014;0.936876;
6.10.-12.10.2014;0.793564;
13.10.-19.10.2014;0.840520;
20.10.-26.10.2014;1.404200;
27.10.-2.11.2014;0.600527;
3.11.-9.11.2014;0.450344;
10.11.-16.11.2014;0.793048;
17.11.-23.11.2014;0.947936;
24.11.-30.11.2014;0.205791;
1.12.-7.12.2014;0.816742;
8.12.-14.12.2014;1.051365;
15.12.-21.12.2014;0.871967;
22.12.-31.12.2014;0.887210;
