Date;PCS;
1.1.-8.1.2017;1.733131;
9.1.-15.1.2017;0.762343;
16.1.-22.1.2017;0.980894;
23.1.-29.1.2017;0.755470;
30.1.-5.2.2017;1.876966;
6.2.-12.2.2017;0.810656;
13.2.-19.2.2017;0.952196;
20.2.-26.2.2017;0.813877;
27.2.-5.3.2017;1.460393;
6.3.-12.3.2017;1.530886;
13.3.-19.3.2017;0.312144;
20.3.-26.3.2017;0.674230;
27.3.-2.4.2017;2.266057;
3.4.-9.4.2017;0.969965;
10.4.-16.4.2017;0.716899;
17.4.-23.4.2017;1.599516;
24.4.-30.4.2017;1.303667;
1.5.-7.5.2017;0.145698;
8.5.-14.5.2017;0.187166;
15.5.-21.5.2017;1.174739;
22.5.-28.5.2017;1.119928;
29.5.-4.6.2017;0.258512;
5.6.-11.6.2017;0.277521;
12.6.-18.6.2017;0.750528;
19.6.-25.6.2017;0.557948;
26.6.-2.7.2017;0.425446;
3.7.-9.7.2017;0.477541;
10.7.-16.7.2017;0.691902;
17.7.-23.7.2017;0.956356;
24.7.-30.7.2017;0.724060;
31.7.-6.8.2017;0.891568;
7.8.-13.8.2017;0.469849;
14.8.-20.8.2017;1.347984;
21.8.-27.8.2017;1.360586;
28.8.-3.9.2017;1.165335;
4.9.-10.9.2017;2.018657;
11.9.-17.9.2017;1.860558;
18.9.-24.9.2017;0.992479;
25.9.-1.10.2017;1.507204;
2.10.-8.10.2017;0.643188;
9.10.-15.10.2017;1.743082;
16.10.-22.10.2017;0.808486;
23.10.-29.10.2017;1.025826;
30.10.-5.11.2017;0.522444;
6.11.-12.11.2017;1.583844;
13.11.-19.11.2017;0.983285;
20.11.-26.11.2017;1.122564;
27.11.-3.12.2017;0.731336;
4.12.-10.12.2017;1.173678;
11.12.-17.12.2017;1.021204;
18.12.-24.12.2017;0.840106;
25.12.-31.12.2017;1.058978;
