Date;Proton10;
1.1.-9.1.2011;0.178704;
10.1.-16.1.2011;0.175952;
17.1.-23.1.2011;0.177917;
24.1.-30.1.2011;0.291964;
31.1.-6.2.2011;0.175952;
7.2.-13.2.2011;0.179940;
14.2.-20.2.2011;0.272976;
21.2.-27.2.2011;0.169583;
28.2.-6.3.2011;0.161429;
7.3.-13.3.2011;7.144881;
14.3.-20.3.2011;0.167262;
21.3.-27.3.2011;1.245833;
28.3.-3.4.2011;0.158155;
4.4.-10.4.2011;0.159524;
11.4.-17.4.2011;0.150833;
18.4.-24.4.2011;0.151964;
25.4.-1.5.2011;0.152917;
2.5.-8.5.2011;0.149881;
9.5.-15.5.2011;0.164048;
16.5.-22.5.2011;0.154881;
23.5.-29.5.2011;0.153452;
30.5.-5.6.2011;0.223214;
6.6.-12.6.2011;7.366429;
13.6.-19.6.2011;1.000952;
20.6.-26.6.2011;0.145774;
27.6.-3.7.2011;0.146012;
4.7.-10.7.2011;0.147738;
11.7.-17.7.2011;0.146429;
18.7.-24.7.2011;0.147619;
25.7.-31.7.2011;0.149822;
1.8.-7.8.2011;10.764345;
8.8.-14.8.2011;1.192083;
15.8.-21.8.2011;0.149405;
22.8.-28.8.2011;0.148274;
29.8.-4.9.2011;0.153631;
5.9.-11.9.2011;0.800179;
12.9.-18.9.2011;0.143393;
19.9.-25.9.2011;3.103869;
26.9.-2.10.2011;4.311548;
3.10.-9.10.2011;0.157024;
10.10.-16.10.2011;0.144643;
17.10.-23.10.2011;0.598869;
24.10.-30.10.2011;0.447083;
31.10.-6.11.2011;0.433333;
7.11.-13.11.2011;0.164167;
14.11.-20.11.2011;0.149345;
21.11.-27.11.2011;6.343571;
28.11.-4.12.2011;0.609583;
5.12.-11.12.2011;0.154464;
12.12.-18.12.2011;0.155655;
19.12.-25.12.2011;0.169107;
26.12.-31.12.2011;0.231042;
