Date;Sunspot;
1.1.-5.1.2014;136.000000;
6.1.-12.1.2014;135.142857;
13.1.-19.1.2014;98.000000;
20.1.-26.1.2014;125.000000;
27.1.-2.2.2014;93.000000;
3.2.-9.2.2014;150.000000;
10.2.-16.2.2014;135.571429;
17.2.-23.2.2014;133.142857;
24.2.-2.3.2014;180.000000;
3.3.-9.3.2014;134.857143;
10.3.-16.3.2014;115.714286;
17.3.-23.3.2014;137.857143;
24.3.-30.3.2014;120.142857;
31.3.-6.4.2014;125.000000;
7.4.-13.4.2014;86.285714;
14.4.-20.4.2014;166.428571;
21.4.-27.4.2014;87.000000;
28.4.-4.5.2014;98.857143;
5.5.-11.5.2014;136.285714;
12.5.-18.5.2014;147.285714;
19.5.-25.5.2014;92.714286;
26.5.-1.6.2014;66.142857;
2.6.-8.6.2014;97.285714;
9.6.-15.6.2014;154.571429;
16.6.-22.6.2014;93.857143;
23.6.-29.6.2014;67.142857;
30.6.-6.7.2014;161.285714;
7.7.-13.7.2014;150.285714;
14.7.-20.7.2014;25.000000;
21.7.-27.7.2014;54.714286;
28.7.-3.8.2014;140.285714;
4.8.-10.8.2014;106.285714;
11.8.-17.8.2014;91.571429;
18.8.-24.8.2014;120.571429;
25.8.-31.8.2014;86.142857;
1.9.-7.9.2014;121.571429;
8.9.-14.9.2014;144.714286;
15.9.-21.9.2014;95.285714;
22.9.-28.9.2014;144.428571;
29.9.-5.10.2014;132.857143;
6.10.-12.10.2014;52.142857;
13.10.-19.10.2014;70.285714;
20.10.-26.10.2014;125.428571;
27.10.-2.11.2014;95.714286;
3.11.-9.11.2014;103.714286;
10.11.-16.11.2014;96.857143;
17.11.-23.11.2014;78.857143;
24.11.-30.11.2014;137.857143;
1.12.-7.12.2014;93.285714;
8.12.-14.12.2014;107.285714;
15.12.-21.12.2014;160.428571;
22.12.-31.12.2014;97.200000;
