Date;Solar;
1.1.-8.1.2017;70.137500;
9.1.-15.1.2017;72.242857;
16.1.-22.1.2017;79.000000;
23.1.-29.1.2017;78.957143;
30.1.-5.2.2017;73.000000;
6.2.-12.2.2017;71.914286;
13.2.-19.2.2017;73.571429;
20.2.-26.2.2017;79.871429;
27.2.-5.3.2017;77.142857;
6.3.-12.3.2017;70.014286;
13.3.-19.3.2017;69.585714;
20.3.-26.3.2017;72.642857;
27.3.-2.4.2017;91.128571;
3.4.-9.4.2017;83.485714;
10.4.-16.4.2017;73.757143;
17.4.-23.4.2017;82.314286;
24.4.-30.4.2017;79.885714;
1.5.-7.5.2017;75.471429;
8.5.-14.5.2017;71.057143;
15.5.-21.5.2017;73.742857;
22.5.-28.5.2017;79.957143;
29.5.-4.6.2017;78.314286;
5.6.-11.6.2017;77.571429;
12.6.-18.6.2017;77.328571;
19.6.-25.6.2017;76.300000;
26.6.-2.7.2017;74.585714;
3.7.-9.7.2017;81.142857;
10.7.-16.7.2017;94.528571;
17.7.-23.7.2017;76.200000;
24.7.-30.7.2017;71.557143;
31.7.-6.8.2017;76.028571;
7.8.-13.8.2017;72.585714;
14.8.-20.8.2017;81.085714;
21.8.-27.8.2017;84.342857;
28.8.-3.9.2017;95.757143;
4.9.-10.9.2017;128.871429;
11.9.-17.9.2017;75.400000;
18.9.-24.9.2017;77.071429;
25.9.-1.10.2017;89.928571;
2.10.-8.10.2017;83.442857;
9.10.-15.10.2017;69.985714;
16.10.-22.10.2017;73.285714;
23.10.-29.10.2017;75.985714;
30.10.-5.11.2017;72.200000;
6.11.-12.11.2017;66.742857;
13.11.-19.11.2017;72.757143;
20.11.-26.11.2017;71.928571;
27.11.-3.12.2017;69.557143;
4.12.-10.12.2017;67.314286;
11.12.-17.12.2017;69.471429;
18.12.-24.12.2017;71.657143;
25.12.-31.12.2017;69.371429;
