Date;Density;
1.1.-9.1.2011;6.338426;
10.1.-16.1.2011;3.676191;
17.1.-23.1.2011;3.900000;
24.1.-30.1.2011;8.533928;
31.1.-6.2.2011;8.180952;
7.2.-13.2.2011;4.337500;
14.2.-20.2.2011;5.511309;
21.2.-27.2.2011;4.034524;
28.2.-6.3.2011;6.616071;
7.3.-13.3.2011;6.087500;
14.3.-20.3.2011;3.757738;
21.3.-27.3.2011;5.140476;
28.3.-3.4.2011;4.545833;
4.4.-10.4.2011;3.455952;
11.4.-17.4.2011;7.558928;
18.4.-24.4.2011;5.386905;
25.4.-1.5.2011;3.279167;
2.5.-8.5.2011;2.919047;
9.5.-15.5.2011;8.973214;
16.5.-22.5.2011;4.528572;
23.5.-29.5.2011;4.629167;
30.5.-5.6.2011;5.280357;
6.6.-12.6.2011;4.490476;
13.6.-19.6.2011;4.043453;
20.6.-26.6.2011;4.138691;
27.6.-3.7.2011;5.101190;
4.7.-10.7.2011;5.954762;
11.7.-17.7.2011;4.330357;
18.7.-24.7.2011;3.098809;
25.7.-31.7.2011;4.364286;
1.8.-7.8.2011;2.777976;
8.8.-14.8.2011;4.366071;
15.8.-21.8.2011;4.652976;
22.8.-28.8.2011;4.224405;
29.8.-4.9.2011;5.481548;
5.9.-11.9.2011;5.647619;
12.9.-18.9.2011;3.750000;
19.9.-25.9.2011;4.167857;
26.9.-2.10.2011;5.972619;
3.10.-9.10.2011;8.753571;
10.10.-16.10.2011;5.441071;
17.10.-23.10.2011;4.194643;
24.10.-30.10.2011;6.273214;
31.10.-6.11.2011;6.232738;
7.11.-13.11.2011;4.479167;
14.11.-20.11.2011;3.588691;
21.11.-27.11.2011;6.652976;
28.11.-4.12.2011;4.768452;
5.12.-11.12.2011;6.450595;
12.12.-18.12.2011;5.009524;
19.12.-25.12.2011;6.136310;
26.12.-31.12.2011;11.629861;
