Date;Speed;
1.1.-6.1.2013;314.381944;
7.1.-13.1.2013;347.363095;
14.1.-20.1.2013;435.369048;
21.1.-27.1.2013;362.035714;
28.1.-3.2.2013;377.934524;
4.2.-10.2.2013;373.261905;
11.2.-17.2.2013;361.065476;
18.2.-24.2.2013;364.327381;
25.2.-3.3.2013;409.166667;
4.3.-10.3.2013;346.386905;
11.3.-17.3.2013;388.928571;
18.3.-24.3.2013;446.880952;
25.3.-31.3.2013;445.904762;
1.4.-7.4.2013;332.678572;
8.4.-14.4.2013;399.726191;
15.4.-21.4.2013;325.982143;
22.4.-28.4.2013;407.607143;
29.4.-5.5.2013;400.059524;
6.5.-12.5.2013;451.208333;
13.5.-19.5.2013;382.083333;
20.5.-26.5.2013;482.255952;
27.5.-2.6.2013;561.857143;
3.6.-9.6.2013;498.041667;
10.6.-16.6.2013;366.190476;
17.6.-23.6.2013;418.005952;
24.6.-30.6.2013;459.750000;
1.7.-7.7.2013;380.029762;
8.7.-14.7.2013;393.416667;
15.7.-21.7.2013;431.696429;
22.7.-28.7.2013;411.565476;
29.7.-4.8.2013;358.809524;
5.8.-11.8.2013;428.851190;
12.8.-18.8.2013;517.529762;
19.8.-25.8.2013;463.714286;
26.8.-1.9.2013;403.428572;
2.9.-8.9.2013;406.244048;
9.9.-15.9.2013;409.732143;
16.9.-22.9.2013;425.619048;
23.9.-29.9.2013;338.696428;
30.9.-6.10.2013;377.154762;
7.10.-13.10.2013;395.928572;
14.10.-20.10.2013;410.476191;
21.10.-27.10.2013;313.601191;
28.10.-3.11.2013;336.244048;
4.11.-10.11.2013;405.095238;
11.11.-17.11.2013;417.583333;
18.11.-24.11.2013;352.220238;
25.11.-1.12.2013;338.464286;
2.12.-8.12.2013;392.898809;
9.12.-15.12.2013;392.291667;
16.12.-22.12.2013;369.113095;
23.12.-31.12.2013;312.856482;
