Date;Temperature;
1.1.-6.1.2013;33846.590278;
7.1.-13.1.2013;61105.446428;
14.1.-20.1.2013;77879.565476;
21.1.-27.1.2013;67729.696429;
28.1.-3.2.2013;69885.000000;
4.2.-10.2.2013;56372.755952;
11.2.-17.2.2013;39739.470238;
18.2.-24.2.2013;62192.952381;
25.2.-3.3.2013;94041.702381;
4.3.-10.3.2013;37259.375000;
11.3.-17.3.2013;79724.160714;
18.3.-24.3.2013;62798.607143;
25.3.-31.3.2013;117779.797619;
1.4.-7.4.2013;33664.369048;
8.4.-14.4.2013;68725.089286;
15.4.-21.4.2013;26985.785714;
22.4.-28.4.2013;95949.809524;
29.4.-5.5.2013;68184.226191;
6.5.-12.5.2013;90774.059524;
13.5.-19.5.2013;57628.303572;
20.5.-26.5.2013;126406.113095;
27.5.-2.6.2013;192562.886905;
3.6.-9.6.2013;77088.892857;
10.6.-16.6.2013;47926.255952;
17.6.-23.6.2013;131932.553571;
24.6.-30.6.2013;89253.422619;
1.7.-7.7.2013;44099.029762;
8.7.-14.7.2013;55405.755952;
15.7.-21.7.2013;85794.005952;
22.7.-28.7.2013;90333.755953;
29.7.-4.8.2013;59572.166666;
5.8.-11.8.2013;97341.916667;
12.8.-18.8.2013;144892.190476;
19.8.-25.8.2013;76607.160714;
26.8.-1.9.2013;81609.303572;
2.9.-8.9.2013;73921.398810;
9.9.-15.9.2013;88334.517857;
16.9.-22.9.2013;85524.321429;
23.9.-29.9.2013;42650.041666;
30.9.-6.10.2013;59773.047619;
7.10.-13.10.2013;45523.714286;
14.10.-20.10.2013;75322.000000;
21.10.-27.10.2013;36664.976190;
28.10.-3.11.2013;62668.279762;
4.11.-10.11.2013;87518.994048;
11.11.-17.11.2013;83860.244047;
18.11.-24.11.2013;58308.994048;
25.11.-1.12.2013;56808.357143;
2.12.-8.12.2013;90249.851190;
9.12.-15.12.2013;74590.928571;
16.12.-22.12.2013;42248.196428;
23.12.-31.12.2013;44976.250000;
